"qname","qtype","value"
"cdn.03aa42ea0f0000000700b1030000.ns1.brownswer.com","28","586:bdb7:62ad:e8a9:ebc1:dca8:60a:cb0d"
"cdn.00000000fb070000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000067090000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000021bc0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000bc600000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b5910000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b1680000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c0630000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ae0b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e6b70000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f5ac0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000004940000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000070b30000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000cb9f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000001a690000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ed120000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000db740000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000099180000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000007e030000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000056360000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000007c160000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000003e9c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000001e9f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000000a880000010000000000.ns1.brownswer.com","1","8.8.8.8"
